wavelength Sony_CMOS_IMX_Pregius_Gen1 Sony_CMOS_IMX_Pregius_Gen2 Sony_CMOS_IMX_Pregius_Gen3 Sony_CMOS_IMX_Pregius_Gen4
300 0 0 0 0.1487
310 0 0 0 0.2168
320 0.126 0.969 0.1262 0.2858
330 0.166 0.138 0.1827 0.3449
340 0.212 0.1799 0.2222 0.3703
350 0.273 0.224 0.2716 0.403
360 0.335 0.2567 0.3198 0.4285
370 0.412 0.2968 0.3642 0.4689
380 0.501 0.3628 0.4403 0.5338
390 0.554 0.4355 0.5001 0.5887
400 0.595 0.4771 0.5553 0.6231
410 0.63 0.5144 0.5994 0.6496
420 0.66979 0.5356 0.6288 0.6781
430 0.69 0.5597 0.6629 0.7003
440 0.71 0.5988 0.6842 0.7156
450 0.75 0.6238 0.7066 0.7316
460 0.745 0.6504 0.7289 0.7318
470 0.751 0.6653 0.7348 0.7398
480 0.76 0.6631 0.7367 0.7446
490 0.761 0.6675 0.748 0.7419
500 0.759 0.6743 0.7429 0.7428
510 0.772 0.6644 0.7508 0.7415
520 0.76 0.6681 0.7489 0.741
530 0.755 0.6727 0.7718 0.7301
540 0.734 0.6753 0.7569 0.7208
550 0.715 0.6758 0.7632 0.707
560 0.693 0.6752 0.7645 0.6841
570 0.675 0.6734 0.7695 0.6773
580 0.652 0.6703 0.7467 0.6604
590 0.638 0.6507 0.7221 0.6386
600 0.61 0.648 0.7196 0.6318
610 0.592 0.6247 0.6976 0.6174
620 0.572 0.6099 0.6854 0.5932
630 0.551 0.6088 0.6703 0.5793
640 0.53 0.5838 0.6577 0.5708
650 0.508 0.5641 0.633 0.5443
660 0.471 0.54 0.6065 0.528
670 0.455 0.5245 0.5981 0.5144
680 0.438 0.5097 0.5859 0.4927
690 0.414 0.4817 0.5541 0.4798
700 0.39 0.462 0.5352 0.4497
710 0.378 0.4481 0.5147 0.4153
720 0.352 0.4362 0.4877 0.41
730 0.333 0.3966 0.4495 0.3814
740 0.309 0.3807 0.429 0.3751
750 0.292 0.3771 0.3997 0.3359
760 0.281 0.3485 0.3874 0.3274
770 0.271 0.3257 0.365 0.3003
780 0.246 0.3025 0.3444 0.293
790 0.227 0.2855 0.3196 0.2724
800 0.203 0.2658 0.3 0.2559
810 0.173 0.2424 0.2814 0.2458
820 0.174 0.2122 0.243 0.2014
830 0.162 0.2022 0.237 0.205
840 0.153 0.1938 0.2293 0.19
850 0.148 0.1795 0.2033 0.1726
860 0.129 0.1568 0.1788 0.1772
870 0.112 0.1424 0.1682 0.1476
880 0.101 0.1294 0.1538 0.1271
890 0.097 0.1205 0.1438 0.1281
900 0.089 0.1074 0.126 0.1056
